fg_made,kick_distance,down,ydstogo,qtr,game_seconds_remaining,score_differential,home,indoor,temp,wind,precipitation,grass
1,33,4,13,4,521,10,1,1,70,0,0,0
1,19,4,1,2,2673,0,1,0,88,0,0,1
1,37,4,8,2,2205,-3,0,0,88,0,0,1
1,34,4,11,3,1382,7,1,0,88,0,0,1
1,27,4,3,4,132,17,1,0,88,0,0,1
1,28,4,8,2,2436,-15,1,0,45,16,0,0
1,22,4,1,1,2899,0,0,0,45,12,0,1
1,31,4,14,2,2674,-3,1,0,45,12,0,1
0,48,4,9,3,1060,0,1,0,45,12,0,1
1,21,4,3,4,627,0,0,0,45,12,0,1
1,38,4,5,4,518,3,0,0,45,12,0,1
1,27,4,7,4,302,-6,1,0,45,12,0,1
1,26,4,2,2,2105,14,1,0,55,11,0,1
0,46,1,10,2,1804,-17,0,0,55,11,0,1
1,25,4,4,3,1093,17,1,0,55,11,0,1
1,50,4,7,1,3105,0,1,0,55,16,0,1
1,35,4,7,1,2914,-3,0,0,55,16,0,1
1,26,4,4,2,2654,0,1,0,55,16,0,1
1,55,4,5,2,2491,-3,0,0,55,16,0,1
1,22,4,3,2,1844,0,1,0,55,16,0,1
1,41,4,5,3,1113,-3,0,0,55,16,0,1
1,46,4,10,1,2866,0,1,0,54,9,1,1
1,40,4,8,2,2608,-3,0,0,54,9,1,1
1,47,4,3,2,2002,-7,0,0,54,9,1,1
1,43,4,3,2,1804,4,1,0,54,9,1,1
1,33,4,4,2,2464,0,1,0,54,12,1,1
0,47,4,4,2,1913,3,1,0,54,12,1,1
1,28,4,2,3,1249,-10,0,0,54,12,1,1
1,27,4,6,1,3275,0,1,0,57,10,1,1
0,22,4,2,2,1809,-4,1,0,57,10,1,1
1,42,4,16,3,1292,3,1,0,57,10,1,1
1,21,4,4,4,120,14,1,0,57,10,1,1
1,44,4,21,1,3050,7,1,0,54,7,0,0
1,23,4,6,4,684,17,1,0,54,7,0,0
1,19,4,1,1,2942,-7,0,1,70,0,0,0
1,41,4,14,2,2452,11,1,1,70,0,0,0
1,51,4,20,2,2248,-14,0,1,70,0,0,0
0,65,2,5,2,1803,-18,0,1,70,0,0,0
1,26,4,8,2,1800,14,0,0,62,12,0,1
0,43,4,14,3,1050,-3,1,0,62,12,0,1
1,30,4,6,1,3041,7,0,0,71,16,1,1
1,46,4,4,2,2048,-17,1,0,71,16,1,1
1,52,4,10,2,1871,-14,1,0,71,16,1,1
1,39,4,21,3,910,5,0,0,71,16,1,1
1,28,4,7,1,3181,-7,1,1,70,0,0,0
1,33,4,15,1,2751,-4,1,1,70,0,0,0
0,51,4,19,2,1910,1,0,1,70,0,0,0
1,25,4,3,2,1811,-1,1,1,70,0,0,0
1,39,4,9,1,3293,0,0,1,70,0,0,0
1,42,4,5,2,2553,3,0,1,70,0,0,0
1,47,4,17,2,2326,-6,1,1,70,0,0,0
0,59,2,7,2,1803,4,0,1,70,0,0,0
1,34,4,6,4,900,-5,1,1,70,0,0,0
1,37,4,12,4,147,2,0,1,70,0,0,0
1,42,4,8,2,2393,0,0,0,57,15,0,1
1,55,4,3,2,1933,3,0,0,57,15,0,1
1,26,4,8,1,3300,0,1,0,59,15,0,1
1,21,4,3,1,2703,-3,0,0,59,15,0,1
0,36,4,11,2,2354,0,0,0,59,15,0,1
1,27,4,3,2,1844,-6,0,0,59,15,0,1
0,44,2,3,2,1806,3,1,0,59,15,0,1
1,23,4,5,4,215,-10,1,0,59,15,0,1
0,59,2,12,4,1,0,0,0,59,15,0,1
1,44,3,10,5,660,0,1,0,59,15,0,1
1,39,4,10,2,2059,7,1,1,70,0,0,0
1,24,4,6,2,1815,10,1,1,70,0,0,0
1,27,4,4,3,1462,-13,0,1,70,0,0,0
1,36,4,9,4,533,3,1,1,70,0,0,0
1,44,4,11,2,1820,7,1,0,64,10,0,1
1,45,4,4,4,782,3,1,0,64,10,0,1
0,47,4,12,4,132,7,1,0,64,10,0,1
1,49,4,10,5,788,0,1,0,64,10,0,1
0,41,4,10,1,3084,0,1,0,65,0,0,0
1,28,4,4,2,1825,0,1,0,65,0,0,0
0,44,1,10,2,1800,-3,0,0,65,0,0,0
0,52,4,4,4,900,3,1,0,65,0,0,0
1,39,4,12,4,405,-4,1,0,65,0,0,0
1,26,1,8,4,4,-1,1,0,65,0,0,0
1,31,4,13,1,2993,7,0,1,70,0,0,0
1,23,4,4,2,2597,-10,1,1,70,0,0,0
0,48,4,17,3,1468,0,1,1,70,0,0,0
1,38,4,5,4,157,7,0,1,70,0,0,0
1,31,4,6,4,30,-10,1,1,70,0,0,0
1,21,4,3,2,2155,-7,0,0,61,12,0,1
1,33,4,6,2,1913,4,1,0,61,12,0,1
1,38,1,10,2,1809,-7,0,0,61,12,0,1
0,41,4,7,1,3041,0,0,0,66,13,1,1
0,39,4,4,2,2586,0,0,0,66,13,1,1
1,30,4,13,2,1982,0,0,0,66,13,1,1
1,41,4,4,4,240,-15,1,0,66,13,1,1
1,46,4,1,4,69,12,0,0,66,13,1,1
0,32,4,6,4,41,0,1,0,71,7,0,1
1,23,1,5,5,793,0,1,0,71,7,0,1
1,48,4,8,1,2975,0,0,0,68,8,0,1
0,43,4,3,2,1884,10,0,0,68,8,0,1
0,39,4,5,4,861,-17,1,0,68,8,0,1
1,21,4,2,2,2195,7,1,0,66,8,0,1
1,51,4,10,2,1945,10,1,0,66,8,0,1
1,45,4,3,3,1441,-6,0,0,66,8,0,1
0,42,4,15,4,362,-17,0,0,66,8,0,1
0,51,4,7,1,3328,0,0,1,70,0,0,0
0,42,4,1,2,2530,0,0,1,70,0,0,0
1,42,4,4,2,2013,14,1,1,70,0,0,0
1,36,1,18,2,1809,17,1,1,70,0,0,0
1,49,4,18,1,2742,0,0,0,88,2,0,1
1,29,4,9,2,2637,-3,1,0,88,2,0,1
1,29,4,8,2,2222,0,0,0,88,2,0,1
1,33,2,15,2,1806,3,0,0,88,2,0,1
0,46,4,2,1,3409,0,1,1,70,0,0,0
1,42,4,5,1,3049,-7,1,1,70,0,0,0
0,25,4,7,1,2738,-4,1,1,70,0,0,0
1,42,4,6,2,1815,-25,1,1,70,0,0,0
1,43,4,11,3,1179,14,0,1,70,0,0,0
